player_id,total_finishing,total_chance_creation,total_ball_progression,total_dribbling,total_ball_winning,total_defensive_actions,total_passing_accuracy,total_long_passing,total_events,matches_played,player_name,position,season_avg_x,events_per_match,estimated_minutes_per_match,estimated_total_minutes,finishing_per90,chance_creation_per90,ball_progression_per90,dribbling_per90,ball_winning_per90,defensive_actions_per90,passing_accuracy_per90,long_passing_per90,finishing_rating,chance_creation_rating,ball_progression_rating,dribbling_rating,ball_winning_rating,defensive_actions_rating,passing_accuracy_rating,long_passing_rating,overall_rating,within_position_overall
1028,49.9,254.0,757.0,202.0,307.5,252.0,705.6,110.5,4336,30,Mitchell Weiser,midfielder,1.9420158286778397,144.53333333333333,90.0,2700.0,1.6633333333333333,8.466666666666667,25.233333333333334,6.733333333333333,10.25,8.4,23.520000000000003,3.6833333333333336,72.7,90.4,85.6,92.3,72.7,70.3,78.4,,82.8,95.7
16806,10.7,365.0,360.5,56.0,118.0,163.8,258.5,54.5,1821,21,Josip Juranovic,midfielder,-2.887858719646799,86.71428571428571,90.0,1890.0,0.5095238095238095,17.38095238095238,17.166666666666668,2.666666666666667,5.619047619047619,7.800000000000001,12.309523809523808,2.5952380952380953,30.1,97.6,63.1,34.9,29.2,66.0,37.3,,56.7,56.9
2404,105.5,65.0,177.0,98.5,87.0,76.5,185.3,31.0,1587,21,Jonathan Burkardt,forward,11.66298449612403,75.57142857142857,90.0,1890.0,5.023809523809524,3.095238095238095,8.428571428571429,4.690476190476191,4.142857142857143,3.6428571428571432,8.823809523809524,1.476190476190476,81.9,33.0,63.7,70.6,,,,,64.1,69.4
1090,4.6,10.0,142.5,16.5,119.0,125.0,168.4,31.5,1162,10,Stefan Bell,defender,-18.56826923076923,116.2,90.0,900.0,0.45999999999999996,1.0,14.25,1.65,11.899999999999999,12.5,16.84,3.1500000000000004,,,8.8,,68.1,55.9,40.2,25.5,47.7,52.9
735,88.9,35.0,49.0,49.0,57.5,47.1,142.2,9.5,891,20,Patrik Schick,forward,17.274970896391153,44.55,90.0,1800.0,4.445,1.75,2.4499999999999997,2.4499999999999997,2.875,2.355,7.1099999999999985,0.47500000000000003,77.4,9.7,3.4,34.1,,,,,44.7,46.1
35172,119.8,350.0,778.0,334.0,147.5,148.3,873.9,63.0,4330,34,Chris Führich,forward,15.060872608492767,127.3529411764706,90.0,3060.0,3.523529411764706,10.294117647058822,22.88235294117647,9.823529411764707,4.338235294117648,4.361764705882353,25.70294117647059,1.8529411764705883,67.1,88.8,95.6,95.6,,,,,80.7,86.5
824,92.8,487.0,516.5,140.0,151.5,139.8,764.2,139.5,3786,32,Julian Brandt,midfielder,8.791762196747534,118.3125,90.0,2880.0,2.9,15.21875,16.140625,4.375,4.734375,4.36875,23.88125,4.359375,90.9,95.7,59.3,70.1,19.6,24.4,78.9,,64.5,69.3
66446,57.1,56.0,70.5,44.0,55.5,49.5,77.9,-1.5,1005,26,Oscar Vilhelmsson,midfielder,9.088631578947368,38.65384615384615,90.0,2340.0,2.1961538461538463,2.153846153846154,2.7115384615384617,1.6923076923076923,2.1346153846153846,1.903846153846154,2.996153846153846,-0.057692307692307696,82.3,34.0,2.9,15.8,1.4,1.9,1.0,,13.8,6.2
1132,72.5,109.0,97.0,48.5,77.5,59.3,159.7,2.0,1121,28,Yussuf Poulsen,midfielder,8.981128584643846,40.035714285714285,90.0,2520.0,2.589285714285714,3.892857142857143,3.4642857142857144,1.7321428571428572,2.767857142857143,2.117857142857143,5.703571428571428,0.07142857142857142,87.0,59.3,4.8,16.7,5.7,4.3,6.2,,21.3,13.9
16761,80.9,165.0,290.5,83.0,197.5,171.5,471.1,35.5,2557,29,Jae-sung Lee,midfielder,7.536047904191617,88.17241379310344,90.0,2610.0,2.7896551724137932,5.689655172413794,10.017241379310345,2.8620689655172415,6.810344827586207,5.913793103448277,16.244827586206895,1.2241379310344827,89.4,78.9,29.7,42.3,42.6,42.6,55.5,,50.2,45.9
9915,46.8,165.0,218.5,58.5,159.0,154.1,153.3,3.0,1498,21,Maximilian Wittek,midfielder,4.013096862210095,71.33333333333333,90.0,1890.0,2.228571428571428,7.857142857142857,10.404761904761905,2.7857142857142856,7.571428571428572,7.338095238095238,7.300000000000001,0.14285714285714285,83.2,88.0,30.1,38.7,48.1,59.8,14.8,,47.1,42.1
8358,8.1,87.0,492.0,96.5,206.5,174.7,670.7,68.0,2910,19,Noussair Mazraoui,midfielder,2.6254319281271594,153.1578947368421,90.0,1710.0,0.42631578947368415,4.578947368421052,25.894736842105264,5.078947368421052,10.868421052631579,9.194736842105263,35.300000000000004,3.578947368421053,25.8,69.8,87.5,81.8,78.4,78.4,90.9,,79.0,90.2
117429,14.600000000000001,0.0,42.0,6.0,25.5,20.6,45.0,11.5,245,6,Skelly Alvero,midfielder,-1.5270833333333336,40.833333333333336,90.0,540.0,2.4333333333333336,0.0,7.0,1.0,4.25,3.4333333333333336,7.5,1.9166666666666665,85.6,0.7,16.7,3.6,18.2,17.7,15.3,,15.7,7.7
40468,7.5,26.0,16.5,7.0,7.5,12.3,40.7,0.0,250,7,Borja Iglesias,forward,21.93089430894309,35.714285714285715,90.0,630.0,1.0714285714285714,3.7142857142857144,2.357142857142857,1.0,1.0714285714285714,1.7571428571428573,5.814285714285715,0.0,17.1,49.5,2.3,3.4,,,,,23.3,14.8
996,0.0,10.0,660.5,68.5,4.0,48.9,200.9,240.0,2225,25,Koen Casteels,defender,-40.97153776978417,89.0,90.0,2250.0,0.0,0.4,26.42,2.7399999999999998,0.16,1.956,8.036,9.600000000000001,,,52.9,,17.6,16.7,6.9,84.3,26.7,22.1
