player_id,total_finishing,total_chance_creation,total_ball_progression,total_dribbling,total_ball_winning,total_defensive_actions,total_passing_accuracy,total_long_passing,total_events,matches_played,player_name,position,season_avg_x,events_per_match,estimated_minutes_per_match,estimated_total_minutes,finishing_per90,chance_creation_per90,ball_progression_per90,dribbling_per90,ball_winning_per90,defensive_actions_per90,passing_accuracy_per90,long_passing_per90,finishing_rating,chance_creation_rating,ball_progression_rating,dribbling_rating,ball_winning_rating,defensive_actions_rating,passing_accuracy_rating,long_passing_rating,overall_rating,within_position_overall,market_value_millions,value_score,expected_rating,rating_vs_expected,value_category
45038,48.5,20.0,593.5,64.0,692.0,816.4,762.8,113.0,4560,33,Sepp van den Berg,defender,-16.10746961325967,138.1818181818182,90.0,2970.0,1.4696969696969697,0.6060606060606061,17.984848484848484,1.9393939393939394,20.969696969696972,24.739393939393942,23.115151515151513,3.424242424242424,,,21.6,,97.0,98.0,63.7,28.4,75.5,83.3,12.0,6.291666666666667,40.0,35.5," Great Value (High Performance, Reasonable Price)"
106529,5.5,40.0,31.5,13.5,8.0,6.4,24.6,-3.0,217,7,Justin Diehl,forward,16.32206572769953,31.0,79.71428571428571,558.0,0.8870967741935484,6.451612903225806,5.080645161290322,2.1774193548387095,1.2903225806451613,1.032258064516129,3.9677419354838714,-0.4838709677419355,10.2,77.4,33.0,23.9,,,,,34.2,26.2,2.5,13.680000000000001,8.333333333333332,25.86666666666667, Standard
824,92.8,487.0,492.5,140.0,154.5,147.1,764.2,139.5,3786,32,Julian Brandt,midfielder,8.791762196747534,118.3125,90.0,2880.0,2.9,15.21875,15.390625,4.375,4.828125,4.596875,23.88125,4.359375,90.9,95.7,58.8,76.5,19.6,23.4,78.9,,64.9,69.8,40.0,1.6225,95.0,-30.099999999999994,"  Overpriced (Expensive, Low Performance)"
1088,10.1,72.0,83.0,32.5,29.0,17.7,74.4,15.0,543,11,Mark Uth,forward,12.03358348968105,49.36363636363637,90.0,990.0,0.9181818181818182,6.545454545454545,7.545454545454545,2.954545454545455,2.6363636363636367,1.6090909090909091,6.763636363636365,1.3636363636363638,11.4,78.5,59.2,47.8,,,,,41.2,37.6,1.0,41.2,3.3333333333333335,37.86666666666667, Standard
26903,18.8,26.0,203.5,60.5,174.0,115.1,321.4,49.0,1575,20,Felix Nmecha,midfielder,1.7125883108542068,78.75,90.0,1800.0,0.9400000000000001,1.3,10.175,3.025,8.7,5.755,16.07,2.4499999999999997,46.4,17.2,35.4,53.6,49.7,31.6,54.0,,38.9,31.1,20.0,1.9449999999999998,66.66666666666666,-27.76666666666666, Standard
51567,7.8,45.0,84.5,30.5,41.0,32.6,129.1,11.0,632,11,Giovanni Reyna,midfielder,8.23296178343949,57.45454545454545,90.0,990.0,0.7090909090909091,4.090909090909091,7.681818181818182,2.772727272727273,3.7272727272727275,2.963636363636364,11.736363636363636,1.0,36.8,62.2,22.5,48.3,11.5,10.5,34.4,,33.3,28.0,18.0,1.8499999999999999,60.0,-26.700000000000003, Standard
5095,7.8,198.0,338.5,58.5,181.0,155.3,263.3,29.5,1893,17,Leart Paçarada,midfielder,-2.997874601487779,111.3529411764706,90.0,1530.0,0.45882352941176474,11.647058823529413,19.91176470588235,3.4411764705882355,10.647058823529411,9.135294117647058,15.488235294117649,1.7352941176470589,27.3,94.2,78.0,62.2,67.9,67.4,50.2,,70.9,80.8,2.0,35.45,6.666666666666667,64.23333333333333, Standard
23329,87.0,86.0,176.5,65.5,92.0,92.6,245.6,40.0,1881,31,Kevin Behrens,forward,13.147258771929824,60.67741935483871,90.0,2790.0,2.8064516129032255,2.774193548387097,5.693548387096775,2.1129032258064515,2.967741935483871,2.9870967741935486,7.92258064516129,1.2903225806451613,54.6,28.4,38.7,18.2,,,,,38.7,33.0,2.0,19.35,6.666666666666667,32.03333333333334, Standard
63688,62.0,53.0,228.0,110.5,107.5,94.2,119.9,11.0,1389,26,Faride Alidou,midfielder,9.74034175334324,53.42307692307692,90.0,2340.0,2.3846153846153846,2.0384615384615383,8.76923076923077,4.25,4.134615384615385,3.6230769230769235,4.611538461538462,0.4230769230769231,84.2,32.0,28.2,74.8,14.8,17.7,2.9,,30.1,22.0,,,,, Standard
732,55.7,98.0,142.5,26.5,89.0,98.7,168.5,34.0,1456,26,Kevin Volland,forward,10.449786628733998,56.0,90.0,2340.0,2.1423076923076922,3.769230769230769,5.480769230769231,1.0192307692307692,3.423076923076923,3.7961538461538464,6.48076923076923,1.3076923076923077,41.0,51.2,37.6,4.6,,,,,36.6,28.4,3.0,12.200000000000001,10.0,26.6, Standard
27161,120.4,294.0,531.0,265.0,194.0,144.2,619.8,57.0,3511,31,Jeremie Frimpong,forward,14.907683386488836,113.25806451612904,90.0,2790.0,3.883870967741936,9.483870967741936,17.129032258064516,8.548387096774192,6.258064516129032,4.651612903225805,19.993548387096773,1.838709677419355,74.0,85.3,91.0,92.2,,,,,81.9,88.8,50.0,1.6380000000000001,95.0,-13.099999999999994," Fair Value (Good Performance, Fair Price)"
9867,107.2,96.0,260.5,150.0,93.5,98.0,164.1,10.0,1685,29,Takuma Asano,forward,15.359076923076923,58.10344827586207,90.0,2610.0,3.6965517241379313,3.310344827586207,8.982758620689657,5.172413793103448,3.2241379310344827,3.3793103448275863,5.658620689655172,0.3448275862068965,71.7,41.0,69.4,79.7,,,,,64.0,68.3,4.0,16.0,13.333333333333334,50.666666666666664, Standard
9395,2.6,177.0,579.0,164.0,370.5,324.2,324.4,47.5,3018,25,Kevin Mbabu,midfielder,2.326002020882452,120.72,90.0,2250.0,0.104,7.08,23.160000000000004,6.5600000000000005,14.819999999999999,12.967999999999998,12.975999999999999,1.9000000000000001,7.7,85.6,84.2,93.3,90.9,90.9,40.2,,76.3,88.0,3.5,21.8,11.666666666666666,64.63333333333333," Great Value (High Performance, Reasonable Price)"
51629,82.0,113.0,291.5,141.0,110.0,110.6,374.4,31.0,2250,34,Jamie Leweling,forward,12.856863636363636,66.17647058823529,90.0,3060.0,2.411764705882353,3.323529411764706,8.573529411764705,4.147058823529412,3.2352941176470584,3.2529411764705882,11.011764705882353,0.911764705882353,51.2,43.2,66.0,63.7,,,,,52.0,56.9,7.0,7.428571428571429,23.333333333333332,28.666666666666668, Standard
715,90.9,173.0,264.5,96.5,148.5,113.2,448.7,36.0,2115,26,Marco Reus,midfielder,7.222861285645239,81.34615384615384,90.0,2340.0,3.4961538461538466,6.653846153846154,10.173076923076923,3.7115384615384617,5.711538461538462,4.353846153846154,17.25769230769231,1.3846153846153846,95.2,83.7,34.9,65.5,25.8,23.0,60.3,,52.6,49.7,5.0,10.52,16.666666666666664,35.93333333333334, Standard
33537,72.4,205.0,315.5,130.0,177.5,119.9,310.7,22.5,2369,31,Rubén Vargas,forward,13.233347826086957,76.41935483870968,90.0,2790.0,2.3354838709677423,6.612903225806452,10.17741935483871,4.193548387096774,5.725806451612904,3.8677419354838714,10.02258064516129,0.7258064516129032,48.9,79.7,77.4,64.9,,,,,62.8,66.0,7.5,8.373333333333333,25.0,37.8, Standard
49763,40.5,69.0,760.5,113.0,413.0,447.8,897.2,106.5,4797,32,Mohamed Simakan,midfielder,-8.642793931731985,149.90625,90.0,2880.0,1.265625,2.15625,23.765624999999996,3.53125,12.90625,13.993749999999999,28.0375,3.328125,59.8,34.4,85.6,63.6,82.7,92.3,83.7,,71.5,82.3,35.0,2.0428571428571427,95.0,-23.5," Fair Value (Good Performance, Fair Price)"
31467,3.5,59.0,151.0,38.0,72.5,82.7,187.2,25.5,1016,22,Finn Becker,midfielder,0.325944333996024,46.18181818181818,90.0,1980.0,0.1590909090909091,2.681818181818182,6.863636363636364,1.727272727272727,3.2954545454545454,3.759090909090909,8.50909090909091,1.1590909090909092,12.9,43.5,17.7,19.1,7.7,19.1,20.6,,21.8,14.3,,,,, Standard
106696,0.0,0.0,40.0,6.0,27.0,27.5,47.5,6.0,247,7,Fabio Chiarodia,defender,-21.77591836734694,35.285714285714285,90.0,630.0,0.0,0.0,5.7142857142857135,0.8571428571428572,3.857142857142857,3.9285714285714284,6.785714285714286,0.8571428571428572,,,2.0,,24.5,23.5,3.9,2.9,16.6,4.9,,,,, Standard
40468,7.5,26.0,18.0,6.0,8.5,12.1,40.7,0.0,250,7,Borja Iglesias,forward,21.93089430894309,35.714285714285715,90.0,630.0,1.0714285714285714,3.7142857142857144,2.571428571428571,0.8571428571428572,1.2142857142857144,1.7285714285714286,5.814285714285715,0.0,17.1,49.5,3.4,3.4,,,,,23.4,13.7,,,,, Standard
8112,16.7,81.0,418.0,96.5,258.5,255.1,580.7,64.0,3122,30,Aurélio Buta,midfielder,0.4151151475835225,104.06666666666666,90.0,2700.0,0.5566666666666666,2.6999999999999997,13.933333333333334,3.216666666666667,8.616666666666667,8.503333333333334,19.35666666666667,2.1333333333333333,33.0,44.0,50.7,57.9,48.3,59.8,66.0,,51.6,48.3,5.0,10.32,16.666666666666664,34.93333333333334, Standard
50321,13.200000000000001,0.0,1389.5,166.0,435.0,542.4,1237.5,229.5,5880,25,Min-jae Kim,defender,-15.262956640491634,235.2,90.0,2250.0,0.528,0.0,55.58,6.64,17.4,21.695999999999998,49.50000000000001,9.18,,,99.0,,88.2,87.2,99.0,82.3,90.8,98.0,45.0,2.017777777777778,95.0,-4.200000000000003," Fair Value (Good Performance, Fair Price)"
