player_name,position,overall_rating,matches_played
Matej Maglica,defender,45.3,26
Ihlas Bebou,forward,45.1,32
Anthony Losilla,midfielder,45.1,31
David Datro Fofana,forward,45.0,12
Tim Drexler,defender,44.6,8
Linton Maina,forward,44.3,31
Nathan Tella,forward,44.3,24
Olivier Deman,midfielder,44.2,28
Nathan Ngoumou,forward,44.1,32
Felix Agu,midfielder,43.9,24
Kevin Paredes,midfielder,43.7,28
Edimilson Fernandes,defender,43.7,21
Jannik Müller,defender,43.5,16
Yannick Gerhardt,midfielder,43.0,25
Christoph Klarer,defender,42.7,30
Gonçalo Paciência,forward,42.6,18
Tobias Kempe,midfielder,42.6,24
Matus Bero,midfielder,42.5,24
Andreas Hanche-Olsen,defender,42.3,15
Norman Theuerkauf,midfielder,41.8,25
Bartol Franjic,midfielder,41.8,20
Jamie Gittens,forward,41.6,25
Julián Malatini,defender,41.6,10
Karim Onisiwo,forward,41.6,24
Josha Vagnoman,midfielder,41.2,18
Mark Uth,forward,41.2,11
Jordy Makengo,midfielder,41.0,20
Sebastiaan Bornauw,defender,40.8,20
Salih Özcan,midfielder,40.7,23
Silas,forward,40.2,27
Erhan Masovic,defender,40.1,29
Niklas Dorsch,midfielder,39.9,21
Manuel Riemann,defender,39.7,33
Marvin Friedrich,defender,39.6,24
Lennard Maloney,midfielder,39.6,29
Marco Richter,forward,39.6,20
Maximilian Bauer,defender,39.3,14
Anthony Rouault,defender,39.2,21
Timo Werner,forward,39.2,8
Senne Lynen,midfielder,39.0,32
Robin Hack,midfielder,39.0,29
Felix Nmecha,midfielder,38.9,20
Kevin Behrens,forward,38.7,31
Karim Adeyemi,forward,38.5,21
Stanley Nsoki,defender,38.2,11
Leonardo Bonucci,defender,38.2,7
Attila Szalai,defender,37.9,7
Luca Waldschmidt,midfielder,37.7,22
Bryan Zaragoza,forward,37.6,7
Alexander Meyer,defender,37.2,8
Maxim Leitsch,defender,36.8,7
Sargis Adamyan,forward,36.7,19
Kevin Volland,forward,36.6,26
Philipp Hofmann,forward,35.9,28
Aïssa Laïdouni,midfielder,35.6,23
Rani Khedira,midfielder,35.6,20
Justin Diehl,forward,34.2,7
Alexander Nübel,defender,33.8,30
Brenden Aaronson,midfielder,33.6,30
Tomas Cvancara,forward,33.5,21
Tom Krauß,midfielder,33.4,29
Leonidas Stergiou,midfielder,33.3,15
Giovanni Reyna,midfielder,33.3,11
Marnon Busch,midfielder,33.2,16
Jacob Christensen,midfielder,33.0,6
Luca Pfeiffer,midfielder,32.5,23
Marcel Schuhen,defender,32.3,31
Lucas Höler,midfielder,32.2,33
Janik Haberer,midfielder,31.8,21
Noah Weißhaupt,midfielder,31.8,24
Kevin Sessa,midfielder,31.7,29
Manuel Neuer,defender,31.7,23
Moritz Broschinski,forward,31.6,26
Arne Engels,midfielder,31.5,32
Alex Král,midfielder,31.4,24
Cristian Gamboa,midfielder,31.4,21
Christoph Baumgartner,midfielder,31.3,32
